"date","countryIsoCode","userType","sessions","sessionDuration","pageviews","bounces","transactions","itemQuantity","transactionRevenue","id"
"2015-08-10","SE","New Visitor","11","336.0","55","0","0","0","0.0","1895"
"2015-08-10","SE","Returning Visitor","8","485.0","47","0","0","0","0.0","1896"
"2015-08-10","SG","New Visitor","5","275.0","22","0","0","0","0.0","1897"
"2015-08-10","SG","Returning Visitor","5","1930.0","38","0","0","0","0.0","1898"
"2015-08-10","TH","New Visitor","1","589.0","6","0","0","0","0.0","1899"
"2015-08-10","TH","Returning Visitor","1","22.0","4","0","0","0","0.0","1900"
"2015-08-10","TR","New Visitor","3","42.0","10","0","0","0","0.0","1901"
"2015-08-10","TR","Returning Visitor","2","35.0","10","0","0","0","0.0","1902"
"2015-08-10","TW","New Visitor","12","1955.0","70","0","0","0","0.0","1903"
"2015-08-10","TW","Returning Visitor","2","199.0","20","0","0","0","0.0","1904"
"2015-08-10","UA","New Visitor","2","5.0","4","0","0","0","0.0","1905"
"2015-08-10","US","New Visitor","401","63100.0","4010","7","2","5","38.0","1906"
"2015-08-10","US","Returning Visitor","336","74948.0","3748","5","1","1","165.0","1907"
"2015-08-10","VE","New Visitor","2","574.0","42","0","0","0","0.0","1908"
"2015-08-10","VN","New Visitor","2","46.0","6","0","0","0","0.0","1909"
"2015-08-10","VN","Returning Visitor","2","1273.0","18","0","0","0","0.0","1910"
"2015-08-10","ZA","New Visitor","3","9.0","5","1","0","0","0.0","1911"
"2015-08-10","ZZ","New Visitor","3","4.0","5","1","0","0","0.0","1912"
"2015-09-02","AE","New Visitor","1","625.0","6","0","0","0","0.0","6478"
"2015-09-02","AR","New Visitor","5","1936.0","87","0","0","0","0.0","6479"
"2015-09-02","AR","Returning Visitor","2","132.0","10","0","0","0","0.0","6480"
"2015-09-02","AT","New Visitor","1","0.0","1","1","0","0","0.0","6481"
"2015-09-02","AU","New Visitor","18","959.0","78","0","0","0","0.0","6482"
"2015-09-12","HK","New Visitor","6","4749.0","76","2","0","0","0.0","8740"
"2015-09-12","HR","New Visitor","2","315.0","6","1","0","0","0.0","8741"
"2015-09-12","HU","New Visitor","2","200.0","12","0","0","0","0.0","8742"
"2015-09-12","ID","New Visitor","3","0.0","5","2","0","0","0.0","8743"
"2015-09-12","IE","New Visitor","2","59.0","4","1","0","0","0.0","8744"
"2015-09-12","IE","Returning Visitor","1","0.0","1","1","0","0","0.0","8745"
"2015-09-12","IL","New Visitor","1","1148.0","21","0","0","0","0.0","8746"
"2015-09-12","IL","Returning Visitor","4","1219.0","22","0","0","0","0.0","8747"
"2015-09-12","IN","New Visitor","8","3330.0","34","4","0","0","0.0","8748"
"2015-09-12","IN","Returning Visitor","2","6456.0","20","0","0","0","0.0","8749"
"2015-09-12","IR","New Visitor","2","52.0","3","1","0","0","0.0","8750"
"2015-09-12","IR","Returning Visitor","1","3.0","2","0","0","0","0.0","8751"
"2015-09-12","IS","New Visitor","1","0.0","1","1","0","0","0.0","8752"
"2015-09-12","IT","New Visitor","21","2861.0","91","7","0","0","0.0","8753"
"2015-09-12","IT","Returning Visitor","4","89.0","13","1","0","0","0.0","8754"
"2015-09-12","JP","New Visitor","3","243.0","12","1","0","0","0.0","8755"
"2015-09-12","JP","Returning Visitor","1","0.0","1","1","0","0","0.0","8756"
"2015-09-12","KW","New Visitor","1","0.0","1","1","0","0","0.0","8757"
"2015-09-12","LB","Returning Visitor","1","316.0","3","0","0","0","0.0","8758"
"2015-09-12","LT","New Visitor","1","27.0","3","0","0","0","0.0","8759"
"2015-09-12","LV","New Visitor","1","550.0","7","0","0","0","0.0","8760"
"2015-09-12","ME","Returning Visitor","1","69.0","3","0","0","0","0.0","8761"
"2015-09-12","MM","New Visitor","1","0.0","1","1","0","0","0.0","8762"
"2015-09-12","MT","New Visitor","1","0.0","1","1","0","0","0.0","8763"
"2015-09-12","MX","New Visitor","11","180.0","15","9","0","0","0.0","8764"
"2015-09-12","MY","New Visitor","2","32.0","3","1","0","0","0.0","8765"
"2015-09-12","NL","New Visitor","14","463.0","37","10","0","0","0.0","8766"
"2015-09-12","NO","New Visitor","8","147.0","15","5","0","0","0.0","8767"
"2015-09-12","NO","Returning Visitor","1","0.0","1","1","0","0","0.0","8768"
"2015-09-12","NZ","New Visitor","6","534.0","18","3","0","0","0.0","8769"
"2015-09-12","NZ","Returning Visitor","1","438.0","2","0","0","0","0.0","8770"
"2015-09-12","PE","New Visitor","2","0.0","2","2","0","0","0.0","8771"
"2015-09-12","PL","New Visitor","1","0.0","1","1","0","0","0.0","8772"
"2015-09-12","PT","New Visitor","2","875.0","10","0","0","0","0.0","8773"
"2015-09-12","RO","New Visitor","2","0.0","2","2","0","0","0.0","8774"
"2015-09-12","RS","New Visitor","1","0.0","1","1","0","0","0.0","8775"
"2015-09-12","RS","Returning Visitor","2","0.0","2","2","0","0","0.0","8776"
"2015-09-12","RU","New Visitor","7","0.0","7","7","0","0","0.0","8777"
"2015-09-12","SA","New Visitor","4","338.0","8","3","0","0","0.0","8778"
"2015-09-12","SE","New Visitor","16","90.0","22","11","0","0","0.0","8779"
"2015-09-12","SE","Returning Visitor","2","5.0","3","1","0","0","0.0","8780"
"2015-09-12","SG","New Visitor","4","78.0","14","3","0","0","0.0","8781"
"2015-09-12","SV","New Visitor","1","0.0","1","1","0","0","0.0","8782"
"2015-09-12","TH","New Visitor","2","29.0","3","1","0","0","0.0","8783"
